run,camCol,rerun,field,objID,u,g,r,i,z,ra,dec
5330,4,301,25,1237668366921565640,23.48566,24.6052,24.09588,22.4689,21.8005,232.844890726081,15.867199434954
5330,4,301,25,1237668366921565742,24.525,24.63549,25.01341,23.56765,20.72132,232.930609390975,15.9466868183161
5330,4,301,25,1237668366921565233,23.73789,23.3686,23.49631,22.64512,21.90225,232.944029367568,15.8606117722235
5330,4,301,25,1237668366921564644,22.58381,23.99847,24.94825,24.41716,22.07016,232.971657622617,15.9350249417985
5330,4,301,26,1237668366921631293,24.69955,24.72248,24.15924,22.15403,21.31912,232.973955305245,15.7950636501112
5330,4,301,26,1237668366921631334,23.43101,23.91625,23.35084,22.06778,21.42108,232.991745875131,15.7189941479976
5330,4,301,26,1237668366921631306,24.09957,24.66845,24.13234,22.19106,21.73843,233.018258018856,15.8987274851513
5330,4,301,26,1237668366921631365,24.50316,24.20117,23.54686,22.08449,21.02845,233.054606097272,15.8202154352847
5330,4,301,26,1237668366921630082,22.25461,24.84171,25.42886,24.16004,22.20615,233.099302739047,15.8480345995476
5330,4,301,26,1237668366921630081,22.32758,25.77231,25.54804,24.75936,22.21515,233.099392071342,15.8668266050817
5330,4,301,27,1237668366921696621,25.57954,25.48961,24.92332,22.48728,21.82488,233.162133572418,15.7613639550027
5330,4,301,27,1237668366921696599,24.33651,23.94545,23.76273,21.50471,20.19307,233.174349413046,15.8763042759511
5330,4,301,27,1237668366921696675,24.32513,24.38054,24.57014,22.30677,21.32441,233.246382107394,15.856455128482
5330,4,301,28,1237668366921761267,22.29464,25.82007,25.60151,24.6857,24.14833,233.337282582687,15.7928194296492
5330,4,301,29,1237668366921827283,23.36891,23.39149,25.15717,23.80589,22.5023,233.442228825507,15.5984709181883
5330,4,301,29,1237668366921828119,24.32011,25.07701,24.47696,22.44063,22.02097,233.48068339016,15.7892136904087
5330,4,301,29,1237668366921826826,22.45093,25.10813,25.45457,24.4713,22.44508,233.50056735239,15.7429480715145
5330,4,301,30,1237668366921893614,24.75427,25.28941,24.63239,22.36642,21.62099,233.549996353817,15.6669575553437
